example-supervised	42	pass	4s	epochs=1000	loss=0.13666947626094297	seed=42	correct=5/5
example-supervised	1	pass	5s	epochs=1000	loss=0.1366868044007123	seed=1	correct=5/5
example-supervised	2	pass	4s	epochs=1000	loss=0.13702333593037008	seed=2	correct=5/5
example-supervised	3	pass	4s	epochs=1000	loss=0.13530670140650666	seed=3	correct=5/5
example-supervised	4	pass	5s	epochs=1000	loss=0.13462403470204745	seed=4	correct=5/5
example-rnn	42	pass	11s	epochs=1199	loss=6.846408751292547e-4	seed=42
example-rnn	1	pass	9s	epochs=1166	loss=8.883210432100606e-4	seed=1
example-rnn	2	pass	11s	epochs=1199	loss=6.875754285716509e-4	seed=2
example-rnn	3	pass	13s	epochs=1576	loss=7.686869729092025e-4	seed=3
example-rnn	4	pass	9s	epochs=1045	loss=9.864375768891505e-4	seed=4
example-lstm	42	pass	10s	epochs=1598	loss=0.0010708967534968673	seed=42
example-lstm	1	pass	9s	epochs=1746	loss=0.0010975640187873754	seed=1
example-lstm	2	pass	9s	epochs=1644	loss=0.0011787557099069608	seed=2
example-lstm	3	pass	9s	epochs=1678	loss=0.0010463559495439538	seed=3
example-lstm	4	pass	10s	epochs=1726	loss=0.0015100510828221286	seed=4
example-gru	42	pass	9s	epochs=1389	loss=9.703833953618452e-4	seed=42
example-gru	1	pass	8s	epochs=1441	loss=0.0012745647019758407	seed=1
example-gru	2	pass	8s	epochs=1325	loss=7.858497426790545e-4	seed=2
example-gru	3	pass	8s	epochs=1156	loss=8.532648294051891e-4	seed=3
example-gru	4	pass	9s	epochs=1612	loss=7.493357407574953e-4	seed=4
example-transformer	42	pass	56s	epochs=1000	sort_acc=6/6	seed=42
example-transformer	1	pass	6s	epochs=1000	sort_acc=5/6	seed=1
example-transformer	2	pass	7s	epochs=1000	sort_acc=6/6	seed=2
example-transformer	3	pass	7s	epochs=1000	sort_acc=6/6	seed=3
example-transformer	4	pass	7s	epochs=1000	sort_acc=6/6	seed=4
example-seq-classify	42	pass	14s	loss=0.09761879761468202	epochs=1000	seed=42
example-seq-classify	1	pass	7s	loss=0.31578968042750494	epochs=316	seed=1
example-seq-classify	2	pass	14s	loss=0.1107263395307159	epochs=1000	seed=2
example-seq-classify	3	pass	14s	loss=0.08204715964716272	epochs=1000	seed=3
example-seq-classify	4	pass	12s	loss=0.16566517902746808	epochs=962	seed=4
example-gpt	42	pass	1m10s	bpc=4.439380834192972	epochs=30	seed=42
example-gpt	1	pass	7s	bpc=4.376909045742844	epochs=30	seed=1
example-gpt	2	pass	7s	bpc=4.394891764522332	epochs=30	seed=2
example-gpt	3	pass	7s	bpc=4.475242969762061	epochs=30	seed=3
example-gpt	4	pass	6s	bpc=4.4531171593960215	epochs=30	seed=4
example-q-learning	42	pass	5s	avg_return=-13.0	epochs=500	seed=42
example-q-learning	1	pass	3s	avg_return=-13.0	epochs=500	seed=1
example-q-learning	2	pass	3s	avg_return=-13.0	epochs=500	seed=2
example-q-learning	3	pass	4s	avg_return=-13.0	epochs=500	seed=3
example-q-learning	4	pass	3s	avg_return=-13.0	epochs=500	seed=4
example-sarsa	42	pass	4s	avg_return=-19.0	epochs=1000	seed=42
example-sarsa	1	pass	4s	avg_return=-100.0	epochs=1000	seed=1
example-sarsa	2	pass	3s	avg_return=-100.0	epochs=1000	seed=2
example-sarsa	3	pass	4s	avg_return=-100.0	epochs=1000	seed=3
example-sarsa	4	pass	3s	avg_return=-17.0	epochs=1000	seed=4
example-monte-carlo	42	pass	9s	win_rate=0.4282	epochs=50000	seed=42
example-monte-carlo	1	pass	6s	win_rate=0.4084	epochs=50000	seed=1
example-monte-carlo	2	pass	6s	win_rate=0.43	epochs=50000	seed=2
example-monte-carlo	3	pass	6s	win_rate=0.4178	epochs=50000	seed=3
example-monte-carlo	4	pass	6s	win_rate=0.4202	epochs=50000	seed=4
example-frozen-lake	42	pass	5s	avg_return=0.74	epochs=10000	seed=42
example-frozen-lake	1	pass	5s	avg_return=0.68	epochs=10000	seed=1
example-frozen-lake	2	pass	5s	avg_return=0.66	epochs=10000	seed=2
example-frozen-lake	3	pass	5s	avg_return=0.7	epochs=10000	seed=3
example-frozen-lake	4	pass	5s	avg_return=0.8	epochs=10000	seed=4
example-taxi	42	pass	11s	avg_return=8.0	epochs=20000	seed=42
example-taxi	1	pass	10s	avg_return=8.0	epochs=20000	seed=1
example-taxi	2	pass	10s	avg_return=8.0	epochs=20000	seed=2
example-taxi	3	pass	10s	avg_return=8.0	epochs=20000	seed=3
example-taxi	4	pass	9s	avg_return=8.0	epochs=20000	seed=4
