lr,epochs,patience,epochsDone,seed,loss
0.1,2000,500,2000,42,0.03616821525008455
0.1,2000,500,2000,2,0.032028466044995346
0.1,2000,500,2000,1,0.082465491696307
0.1,2000,500,2000,3,0.03551839187876373
0.03,2000,500,2000,2,0.25660165146716246
0.03,2000,500,2000,1,0.640377667657055
0.03,2000,500,2000,3,0.37731032585127033
0.03,2000,500,2000,42,0.4280362688129251
0.01,2000,500,2000,1,0.6672705897814502
0.01,2000,500,2000,2,0.5767458931827976
0.01,2000,500,2000,3,0.6451076273515381
0.01,2000,500,2000,42,0.6549854879866167
0.003,2000,500,2000,1,0.6831509351379053
0.003,2000,500,2000,2,0.6347441175202054
0.003,2000,500,2000,42,0.6745971235355558
0.003,2000,500,2000,3,0.6710106925217046
