lr,maxNorm,beta1,beta2,epochs,patience,epochsDone,seed,H,trainAcc,testAcc
0.003,3.0,0.9,0.999,6000,500,2000,2,20,0.8888888888888888,0.8461538461538461
0.003,3.0,0.9,0.999,6000,500,2200,3,20,0.8333333333333334,0.8384615384615385
0.003,3.0,0.9,0.999,6000,500,2500,42,20,0.8666666666666667,0.8692307692307693
0.003,3.0,0.9,0.999,6000,500,3300,1,20,0.8777777777777778,0.8769230769230769
0.003,5.0,0.9,0.999,6000,500,2400,1,20,0.8722222222222222,0.9153846153846154
0.003,5.0,0.9,0.999,6000,500,2500,2,20,0.9,0.8884615384615384
0.003,5.0,0.9,0.999,6000,500,2200,3,20,0.85,0.8461538461538461
0.003,5.0,0.9,0.999,6000,500,2200,42,20,0.8777777777777778,0.8615384615384616
0.003,10.0,0.9,0.999,6000,500,2200,1,20,0.8944444444444445,0.8692307692307693
0.003,10.0,0.9,0.999,6000,500,2100,2,20,0.9166666666666666,0.8692307692307693
0.003,10.0,0.9,0.999,6000,500,2500,3,20,0.8388888888888889,0.8730769230769231
0.003,10.0,0.9,0.999,6000,500,2500,42,20,0.8555555555555555,0.8846153846153846
0.001,3.0,0.9,0.999,6000,500,3000,1,20,0.8555555555555555,0.85
0.001,3.0,0.9,0.999,6000,500,3000,2,20,0.8166666666666667,0.8538461538461538
0.001,3.0,0.9,0.999,6000,500,2900,3,20,0.8611111111111112,0.8846153846153846
0.001,3.0,0.9,0.999,6000,500,3300,42,20,0.8722222222222222,0.8884615384615384
0.001,5.0,0.9,0.999,6000,500,2600,3,20,0.8611111111111112,0.8615384615384616
0.001,5.0,0.9,0.999,6000,500,3200,2,20,0.9111111111111111,0.8692307692307693
0.001,5.0,0.9,0.999,6000,500,3400,1,20,0.8333333333333334,0.8461538461538461
0.001,5.0,0.9,0.999,6000,500,3400,42,20,0.9055555555555556,0.8923076923076924
0.001,10.0,0.9,0.999,6000,500,2700,1,20,0.8611111111111112,0.85
0.001,10.0,0.9,0.999,6000,500,2600,3,20,0.8444444444444444,0.85
0.001,10.0,0.9,0.999,6000,500,3600,2,20,0.8444444444444444,0.8846153846153846
0.001,10.0,0.9,0.999,6000,500,2600,42,20,0.8444444444444444,0.8538461538461538
3e-4,3.0,0.9,0.999,6000,500,2500,1,20,0.8555555555555555,0.8461538461538461
3e-4,3.0,0.9,0.999,6000,500,3000,2,20,0.8666666666666667,0.8346153846153846
3e-4,3.0,0.9,0.999,6000,500,2700,3,20,0.8555555555555555,0.8461538461538461
3e-4,5.0,0.9,0.999,6000,500,2500,1,20,0.8555555555555555,0.8461538461538461
3e-4,3.0,0.9,0.999,6000,500,4100,42,20,0.8555555555555555,0.8846153846153846
3e-4,5.0,0.9,0.999,6000,500,2700,3,20,0.8777777777777778,0.8423076923076923
3e-4,5.0,0.9,0.999,6000,500,3800,2,20,0.8611111111111112,0.8423076923076923
3e-4,10.0,0.9,0.999,6000,500,2500,1,20,0.8555555555555555,0.8423076923076923
3e-4,5.0,0.9,0.999,6000,500,4100,42,20,0.8277777777777777,0.8846153846153846
3e-4,10.0,0.9,0.999,6000,500,2700,3,20,0.8611111111111112,0.8384615384615385
3e-4,10.0,0.9,0.999,6000,500,3700,2,20,0.85,0.8576923076923076
3e-4,10.0,0.9,0.999,6000,500,4100,42,20,0.8388888888888889,0.8846153846153846
